source_group,listing_url,product_url,product_title,brand_guess,species,format,source_tier,source_type,market,status,product_scope,notes
kompa distributor,https://kompa.gr/en/category/dog/dry-food-dog/,https://kompa.gr/en/product/acana-ranchlands-regionals/,RANCHLANDS,ACANA,dog,dry,distributor,distributor_listing_page,EU,ready_for_manual_food_match,complete_food_candidate,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
kompa distributor,https://kompa.gr/en/category/dog/dry-food-dog/,https://kompa.gr/en/product/acana-senior/,SENIOR,ACANA,dog,dry,distributor,distributor_listing_page,EU,ready_for_manual_food_match,complete_food_candidate,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
kompa distributor,https://kompa.gr/en/category/dog/dry-food-dog/,https://kompa.gr/en/product/acana-sport-agility/,SPORT & AGILITY,ACANA,dog,dry,distributor,distributor_listing_page,EU,ready_for_manual_food_match,complete_food_candidate,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
kompa distributor,https://kompa.gr/en/category/dog/dry-food-dog/,https://kompa.gr/en/product/acana-wild-coast-classics/,WILD COAST,ACANA,dog,dry,distributor,distributor_listing_page,EU,ready_for_manual_food_match,complete_food_candidate,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
kompa distributor,https://kompa.gr/en/category/dog/dry-food-dog/,https://kompa.gr/en/product/acana-wild-prairie-classics/,WILD PRAIRIE,ACANA,dog,dry,distributor,distributor_listing_page,EU,ready_for_manual_food_match,complete_food_candidate,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
kompa distributor,https://kompa.gr/en/category/dog/dry-food-dog/,https://kompa.gr/en/product/acana-yorkshire-pork-singles/,YORKSHIRE PORK,ACANA,dog,dry,distributor,distributor_listing_page,EU,ready_for_manual_food_match,complete_food_candidate,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
kompa distributor,https://kompa.gr/en/category/dog/dry-food-dog/,https://kompa.gr/en/product/free-run-duck/,FREE-RUN DUCK,,dog,dry,distributor,distributor_listing_page,EU,ready_for_manual_food_match,complete_food_candidate,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
kompa distributor,https://kompa.gr/en/category/dog/dry-food-dog/,https://kompa.gr/en/product/orijen-fit-trim/,FIT & TRIM,ORIJEN,dog,dry,distributor,distributor_listing_page,EU,ready_for_manual_food_match,complete_food_candidate,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
kompa distributor,https://kompa.gr/en/category/dog/dry-food-dog/,https://kompa.gr/en/product/orijen-original/,ORIGINAL,ORIJEN,dog,dry,distributor,distributor_listing_page,EU,ready_for_manual_food_match,complete_food_candidate,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
kompa distributor,https://kompa.gr/en/category/dog/dry-food-dog/,https://kompa.gr/en/product/orijen-puppy-large/,PUPPY LARGE,ORIJEN,dog,dry,distributor,distributor_listing_page,EU,ready_for_manual_food_match,complete_food_candidate,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
kompa distributor,https://kompa.gr/en/category/dog/dry-food-dog/,https://kompa.gr/en/product/orijen-puppy/,PUPPY,ORIJEN,dog,dry,distributor,distributor_listing_page,EU,ready_for_manual_food_match,complete_food_candidate,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
kompa distributor,https://kompa.gr/en/category/dog/dry-food-dog/,https://kompa.gr/en/product/orijen-regional-red/,REGIONAL RED,ORIJEN,dog,dry,distributor,distributor_listing_page,EU,ready_for_manual_food_match,complete_food_candidate,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
kompa distributor,https://kompa.gr/en/category/dog/dry-food-dog/,https://kompa.gr/en/product/orijen-senior/,SENIOR,ORIJEN,dog,dry,distributor,distributor_listing_page,EU,ready_for_manual_food_match,complete_food_candidate,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
kompa distributor,https://kompa.gr/en/category/dog/dry-food-dog/,https://kompa.gr/en/product/orijen-six-fish/,SIX FISH,ORIJEN,dog,dry,distributor,distributor_listing_page,EU,ready_for_manual_food_match,complete_food_candidate,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
