formula_key,brand,formula_name,species,status,source_url,extracted_fields,missing_fields,notes
royal-canin-cavalier-king-charles-puppy-dog-dry-gr-official,Royal Canin,Cavalier King Charles Puppy,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/cavalier-king-charles-puppy-4132,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Cavalier King Charles Spaniel; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-west-highland-white-terrier-adult-dog-dry-gr-official,Royal Canin,West Highland White Terrier Adult,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/west-highland-white-terrier-adult-3981,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=West Highland White Terrier; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-labrador-retriever-sterilised-dog-dry-gr-official,Royal Canin,Labrador Retriever Sterilised,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/labrador-retriever-sterilised-3996,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Labrador Retriever; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-french-bulldog-adult-dog-dry-gr-official,Royal Canin,French Bulldog Adult,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/french-bulldog-adult-3991,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=French Bulldog; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-bulldog-adult-dog-dry-gr-official,Royal Canin,Bulldog Adult,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/bulldog-adult-2590,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Bulldog; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-bichon-frise-adult-dog-dry-gr-official,Royal Canin,Bichon Frise Adult,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/bichon-frise-adult-4134,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Bichon Frise; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-beagle-adult-dog-dry-gr-official,Royal Canin,Beagle Adult,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/beagle-adult-2106,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Beagle; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-boxer-adult-dog-dry-gr-official,Royal Canin,Boxer Adult,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/boxer-adult-2588,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Boxer; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-x-small-sterilised-dog-dry-gr-official,Royal Canin,X-Small Sterilised,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/x-small-sterilised-1019,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Any; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-mini-light-weight-care-dog-dry-gr-official,Royal Canin,Mini Light Weight Care,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/mini-light-weight-care-3018,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Any; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
