canonical_identity_key,rank,score,decision,dataset_file,formula_key,brand,display_name,species,format,source_priority,title_source_priority,missing_blockers,filled_core_fields,filled_mineral_fields,has_kcal,has_source
royal canin|medium light weight care|dog|dry,2,76.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-medium-light-weight-care-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Medium Light Weight Care 3kg,dog,dry,retailer,60,,4,0,yes,yes
royal canin|medium puppy|dog|dry,1,80.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-medium-puppy-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Medium Puppy 3kg,dog,dry,retailer,60,,5,0,yes,yes
royal canin|medium starter|dog|dry,1,76.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-medium-starter-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Medium Starter 4kg,dog,dry,retailer,60,,4,0,yes,yes
royal canin|medium starter|dog|dry,2,8.0,hold,data/imports/dog_dry_eshop_spreadsheet_extract_v2.csv,royal-canin-royal-canin-medium-starter-dog-dry-gr-spreadsheet,Royal Canin,Royal Canin Medium Starter,dog,dry,unknown,0,fat_percent|fiber_percent|kcal_per_100g_or_kcal_per_kg|data_source_url_or_manual_photo,2,0,no,no
royal canin|medium starter|dog|dry,3,8.0,hold,data/imports/mixed_eshop_spreadsheet_extract_v2.csv,royal-canin-royal-canin-medium-starter-dog-dry-gr-spreadsheet,Royal Canin,Royal Canin Medium Starter,dog,dry,unknown,0,fat_percent|fiber_percent|kcal_per_100g_or_kcal_per_kg|data_source_url_or_manual_photo,2,0,no,no
royal canin|medium sterilised adult|dog|dry,1,76.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-medium-sterilised-adult-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Medium Sterilised Adult 3kg,dog,dry,retailer,60,,4,0,yes,yes
royal canin|mini adult 8 plus|dog|dry,1,80.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-mini-adult-8-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Mini Adult 8+ 2kg,dog,dry,retailer,60,,5,0,yes,yes
royal canin|mini adult 8 plus|dog|dry,2,52.0,hold,data/imports/royal_canin_gr_product_extract_v2.csv,royal-canin-mini-adult-8-dog-dry-gr-official,Royal Canin,Royal Canin MINI ADULT 8+,dog,dry,official,40,protein_percent,4,0,yes,yes
royal canin|mini adult poultry|dog|dry,1,80.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-mini-adult-poultry-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Mini Adult Poultry 2kg,dog,dry,retailer,60,,5,0,yes,yes
royal canin|mini adult sterilised|dog|dry,1,90.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-mini-adult-sterilised-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Mini Adult Sterilised 1kg,dog,dry,retailer,60,,6,2,yes,yes
royal canin|mini adult sterilised|dog|dry,2,14.5,hold,data/imports/royal_canin_dog_photo_batch_v2.csv,royal-canin-mini-adult-sterilised-dog-dry-gr-photo,Royal Canin,Royal Canin Mini Adult Sterilised,dog,dry,manual_photo,5,ingredient_text|protein_percent|fat_percent|fiber_percent|kcal_per_100g_or_kcal_per_kg,0,0,no,yes
royal canin|mini ageing 12 plus|dog|dry,1,86.0,candidate,data/imports/royal_canin_gr_product_extract_v2.csv,royal-canin-mini-ageing-12-dog-dry-gr-official,Royal Canin,Royal Canin MINI AGEING 12+,dog,dry,official,40,,5,0,yes,yes
royal canin|mini ageing 12 plus|dog|dry,2,80.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-mini-ageing-12-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Mini Ageing 12+ 1.5kg,dog,dry,retailer,60,,5,0,yes,yes
royal canin|mini dental care|dog|dry,1,82.0,candidate,data/imports/royal_canin_gr_product_extract_v2.csv,royal-canin-mini-dental-care-dog-dry-gr-official,Royal Canin,Royal Canin Mini Dental Care,dog,dry,official,40,,4,0,yes,yes
royal canin|mini dental care|dog|dry,2,80.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-mini-dental-care-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Mini Dental Care 3kg,dog,dry,retailer,60,,5,0,yes,yes
royal canin|mini dermacomfort|dog|dry,1,82.0,candidate,data/imports/royal_canin_gr_product_extract_v2.csv,royal-canin-mini-dermacomfort-dog-dry-gr-official,Royal Canin,Royal Canin Mini Dermacomfort,dog,dry,official,40,,4,0,yes,yes
royal canin|mini dermacomfort|dog|dry,2,80.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-mini-dermacomfort-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Mini Dermacomfort 3kg,dog,dry,retailer,60,,5,0,yes,yes
royal canin|mini digestive care|dog|dry,1,86.0,candidate,data/imports/royal_canin_gr_product_extract_v2.csv,royal-canin-mini-digestive-care-dog-dry-gr-official,Royal Canin,Royal Canin Mini Digestive Care,dog,dry,official,40,,5,0,yes,yes
royal canin|mini digestive care|dog|dry,2,80.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-mini-digestive-care-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Mini Digestive Care 3kg,dog,dry,retailer,60,,5,0,yes,yes
